Source,Target,Chapter
Devi,Drehy,1
Devi,Jasnah,1
Devi,Kara,1
Devi,Kryst,1
Devi,Leyten,1
Devi,Lyon,1
Devi,Marni,1
Devi,Natam,1
Devi,Shallan,1
Devi,Skar,1
Devi,Teft,1
Drehy,Jasnah,1
Drehy,Jasnah,32
Drehy,Jasnah,74
Drehy,Jasnah,83
Drehy,Jasnah,87
Drehy,Jasnah,108
Drehy,Jasnah,118
Drehy,Jasnah,143
Drehy,Jasnah,145
Drehy,Kara,1
Drehy,Kryst,1
Drehy,Leyten,1
Drehy,Leyten,43
Drehy,Leyten,45
Drehy,Leyten,54
Drehy,Leyten,63
Drehy,Lyon,1
Drehy,Marni,1
Drehy,Natam,1
Drehy,Natam,63
Drehy,Shallan,1
Drehy,Shallan,32
Drehy,Shallan,43
Drehy,Shallan,45
Drehy,Shallan,73
Drehy,Shallan,74
Drehy,Shallan,82
Drehy,Shallan,83
Drehy,Shallan,87
Drehy,Shallan,90
Drehy,Shallan,96
Drehy,Shallan,97
Drehy,Shallan,98
Drehy,Shallan,108
Drehy,Shallan,118
Drehy,Shallan,143
Drehy,Shallan,145
Drehy,Skar,1
Drehy,Skar,32
Drehy,Skar,45
Drehy,Skar,54
Drehy,Skar,63
Drehy,Skar,73
Drehy,Skar,74
Drehy,Skar,82
Drehy,Skar,83
Drehy,Skar,87
Drehy,Skar,90
Drehy,Skar,96
Drehy,Skar,97
Drehy,Skar,98
Drehy,Skar,108
Drehy,Skar,118
Drehy,Skar,143
Drehy,Skar,145
Drehy,Teft,1
Drehy,Teft,32
Drehy,Teft,43
Drehy,Teft,45
Drehy,Teft,54
Drehy,Teft,63
Drehy,Teft,143
Drehy,Teft,145
Drehy,Adolin,32
Drehy,Adolin,45
Drehy,Adolin,73
Drehy,Adolin,74
Drehy,Adolin,82
Drehy,Adolin,83
Drehy,Adolin,86
Drehy,Adolin,87
Drehy,Adolin,90
Drehy,Adolin,96
Drehy,Adolin,97
Drehy,Adolin,98
Drehy,Adolin,108
Drehy,Adolin,118
Drehy,Adolin,143
Drehy,Adolin,145
Drehy,Aladar,32
Drehy,Aladar,143
Drehy,Aladar,145
Drehy,Dalinar,32
Drehy,Dalinar,43
Drehy,Dalinar,45
Drehy,Dalinar,54
Drehy,Dalinar,63
Drehy,Dalinar,74
Drehy,Dalinar,82
Drehy,Dalinar,83
Drehy,Dalinar,86
Drehy,Dalinar,90
Drehy,Dalinar,108
Drehy,Dalinar,118
Drehy,Dalinar,143
Drehy,Dalinar,145
Drehy,Dilid,32
Drehy,Eth,32
Drehy,Eth,45
Drehy,Eth,54
Drehy,Eth,63
Drehy,Gaz,32
Drehy,Gaz,74
Drehy,Gaz,90
Drehy,Glurv,32
Drehy,Glys,32
Drehy,Glys,45
Drehy,Glys,143
Drehy,Halad,32
Drehy,Kaladin,32
Drehy,Kaladin,43
Drehy,Kaladin,45
Drehy,Kaladin,54
Drehy,Kaladin,63
Drehy,Kaladin,73
Drehy,Kaladin,74
Drehy,Kaladin,82
Drehy,Kaladin,83
Drehy,Kaladin,86
Drehy,Kaladin,87
Drehy,Kaladin,90
Drehy,Kaladin,96
Drehy,Kaladin,97
Drehy,Kaladin,98
Drehy,Kaladin,108
Drehy,Kaladin,118
Drehy,Kaladin,143
Drehy,Kaladin,145
Drehy,Lopen,32
Drehy,Lopen,43
Drehy,Lopen,45
Drehy,Lopen,54
Drehy,Lopen,63
Drehy,Lopen,143
Drehy,Lyn,32
Drehy,Lyn,43
Drehy,Lyn,54
Drehy,Lyn,63
Drehy,Lyn,83
Drehy,Lyn,143
Drehy,Navani,32
Drehy,Navani,54
Drehy,Navani,118
Drehy,Navani,143
Drehy,Navani,145
Drehy,Palona,32
Drehy,Palona,145
Drehy,Pattern,32
Drehy,Pattern,82
Drehy,Pattern,87
Drehy,Pattern,90
Drehy,Pattern,96
Drehy,Pattern,97
Drehy,Pattern,98
Drehy,Pattern,108
Drehy,Pattern,118
Drehy,Pattern,143
Drehy,Pattern,145
Drehy,Perel,32
Drehy,Re-Shephir,32
Drehy,Renarin,32
Drehy,Renarin,45
Drehy,Renarin,54
Drehy,Renarin,63
Drehy,Renarin,143
Drehy,Renarin,145
Drehy,Ruthar,32
Drehy,Ruthar,54
Drehy,Stormfather,32
Drehy,Stormfather,73
Drehy,Stormfather,96
Drehy,Stormfather,98
Drehy,Stormfather,118
Drehy,Stormfather,143
Drehy,Stormfather,145
Drehy,Taravangian,32
Drehy,Taravangian,143
Drehy,Taravangian,145
Drehy,Sadeas,32
Drehy,Sadeas,43
Drehy,Sadeas,45
Drehy,Sadeas,54
Drehy,Sadeas,83
Drehy,Sadeas,96
Drehy,Sadeas,108
Drehy,Sadeas,143
Drehy,Sadeas,145
Drehy,Vathah,32
Drehy,Vathah,87
Drehy,Vathah,90
Drehy,Vathah,108
Drehy,Bisig,43
Drehy,Bisig,45
Drehy,Bisig,54
Drehy,Dru,43
Drehy,Elhokar,43
Drehy,Elhokar,45
Drehy,Elhokar,54
Drehy,Elhokar,73
Drehy,Elhokar,74
Drehy,Elhokar,82
Drehy,Elhokar,83
Drehy,Elhokar,86
Drehy,Elhokar,87
Drehy,Elhokar,90
Drehy,Elhokar,96
Drehy,Elhokar,97
Drehy,Elhokar,98
Drehy,Elhokar,108
Drehy,Elhokar,118
Drehy,Elhokar,143
Drehy,Elhokar,145
Drehy,Hobber,43
Drehy,Hobber,45
Drehy,Hobber,54
Drehy,Hobber,63
Drehy,Huio,43
Drehy,Huio,45
Drehy,Huio,54
Drehy,Huio,63
Drehy,Moash,43
Drehy,Moash,45
Drehy,Moash,54
Drehy,Moash,97
Drehy,Moash,118
Drehy,Moash,145
Drehy,Peet,43
Drehy,Peet,45
Drehy,Peet,63
Drehy,Punio,43
Drehy,Punio,54
Drehy,Sigzil,43
Drehy,Sigzil,45
Drehy,Sigzil,54
Drehy,Sigzil,63
Drehy,Sigzil,73
Drehy,Vevidar,43
Drehy,Cord,45
Drehy,Dabbid,45
Drehy,Dabbid,54
Drehy,Dabbid,63
Drehy,Gift,45
Drehy,Lunamor,45
Drehy,Phendorana,45
Drehy,Rayse,45
Drehy,Rayse,54
Drehy,Rlain,45
Drehy,Rlain,54
Drehy,Rlain,63
Drehy,Star,45
Drehy,Syl,45
Drehy,Syl,54
Drehy,Syl,73
Drehy,Syl,74
Drehy,Syl,82
Drehy,Syl,83
Drehy,Syl,86
Drehy,Syl,90
Drehy,Syl,97
Drehy,Syl,108
Drehy,Syl,118
Drehy,Syl,143
Drehy,Syl,145
Drehy,Tifi,45
Drehy,Tuaka,45
Drehy,Colot,54
Drehy,Colot,63
Drehy,Koen,54
Drehy,Ristina,54
Drehy,Took,54
Drehy,Took,90
Drehy,Took,143
Drehy,Eshonai,63
Drehy,Kalak,63
Drehy,Thude,63
Drehy,Torfin,63
Drehy,Varanis,63
Drehy,Yake,63
Drehy,Aesudan,74
Drehy,Aesudan,96
Drehy,Aesudan,97
Drehy,Aesudan,143
Drehy,Tarah,74
Drehy,Tarah,118
Drehy,Sah,82
Drehy,Sah,83
Drehy,Sah,86
Drehy,Sah,97
Drehy,Yokska,82
Drehy,Yokska,96
Drehy,Beard,83
Drehy,Beard,86
Drehy,Beard,97
Drehy,Khen,83
Drehy,Khen,97
Drehy,Khen,145
Drehy,Noromin,83
Drehy,Sibling,83
Drehy,Alaward,86
Drehy,Alaward,97
Drehy,Deedanor,86
Drehy,Hid,86
Drehy,Vaceslv,86
Drehy,Vaceslv,97
Drehy,Velalant,86
Drehy,Grund,87
Drehy,Ishnah,87
Drehy,Ishnah,90
Drehy,Ishnah,108
Drehy,Ma,87
Drehy,Muri,87
Drehy,Seland,87
Drehy,Ashertmarn,90
Drehy,Ashertmarn,97
Drehy,Hessi,90
Drehy,Hessi,108
Drehy,Hessi,118
Drehy,Sja-anat,90
Drehy,Sja-anat,97
Drehy,Sja-anat,98
Drehy,Sja-anat,108
Drehy,Sja-anat,145
Drehy,Dod,96
Drehy,Kaves,96
Drehy,Shaday,96
Drehy,Sidin,96
Drehy,Urimil,96
Drehy,Evi,97
Drehy,Evi,143
Drehy,Gavilar,97
Drehy,Gavilar,143
Drehy,Gavilar,145
Drehy,Gavinor,97
Drehy,Gavinor,145
Drehy,Jali,97
Drehy,Yelig-nar,97
Drehy,Bavamar,118
Drehy,Ico,118
Drehy,Laral,118
Drehy,Nergaoul,118
Drehy,Coreb,143
Drehy,Estnatil,143
Drehy,Hab,143
Drehy,Hamadin,143
Drehy,Helaran,143
Drehy,Hrdalm,143
Drehy,Ivory,143
Drehy,Kadash,143
Drehy,Kadash,145
Drehy,Kalanor,143
Drehy,Kdralk,143
Drehy,Lift,143
Drehy,Lift,145
Drehy,Malata,143
Drehy,Mayalaran,143
Drehy,Nightwatcher,143
Drehy,Nightwatcher,145
Drehy,Szeth,143
Drehy,Szeth,145
Drehy,Tien,143
Drehy,Timbre,143
Drehy,Tshadr,143
Drehy,Sebarial,143
Drehy,Sebarial,145
Drehy,Venli,143
Drehy,Yalb,143
Drehy,Adrotagia,145
Drehy,Balat,145
Drehy,Dukar,145
Drehy,Graves,145
Drehy,Gvori,145
Drehy,Hatham,145
Drehy,Ialai,145
Drehy,Jushu,145
Drehy,Ka,145
Drehy,Karavaniga,145
Drehy,Leshwi,145
Drehy,Maben,145
Drehy,Mraize,145
Drehy,Mrall,145
Drehy,Nam,145
Drehy,Noura,145
Drehy,Pal,145
Drehy,Rial,145
Drehy,Ruli,145
Drehy,Wikim,145
Jasnah,Kara,1
Jasnah,Kryst,1
Jasnah,Leyten,1
Jasnah,Leyten,77
Jasnah,Leyten,123
Jasnah,Leyten,132
Jasnah,Leyten,144
Jasnah,Lyon,1
Jasnah,Marni,1
Jasnah,Natam,1
Jasnah,Shallan,1
Jasnah,Shallan,11
Jasnah,Shallan,12
Jasnah,Shallan,16
Jasnah,Shallan,18
Jasnah,Shallan,21
Jasnah,Shallan,25
Jasnah,Shallan,28
Jasnah,Shallan,30
Jasnah,Shallan,32
Jasnah,Shallan,35
Jasnah,Shallan,40
Jasnah,Shallan,41
Jasnah,Shallan,42
Jasnah,Shallan,46
Jasnah,Shallan,47
Jasnah,Shallan,52
Jasnah,Shallan,55
Jasnah,Shallan,58
Jasnah,Shallan,59
Jasnah,Shallan,61
Jasnah,Shallan,71
Jasnah,Shallan,74
Jasnah,Shallan,75
Jasnah,Shallan,76
Jasnah,Shallan,77
Jasnah,Shallan,80
Jasnah,Shallan,83
Jasnah,Shallan,87
Jasnah,Shallan,95
Jasnah,Shallan,108
Jasnah,Shallan,112
Jasnah,Shallan,118
Jasnah,Shallan,120
Jasnah,Shallan,138
Jasnah,Shallan,139
Jasnah,Shallan,140
Jasnah,Shallan,141
Jasnah,Shallan,142
Jasnah,Shallan,143
Jasnah,Shallan,144
Jasnah,Shallan,145
Jasnah,Shallan,146
Jasnah,Skar,1
Jasnah,Skar,32
Jasnah,Skar,74
Jasnah,Skar,83
Jasnah,Skar,87
Jasnah,Skar,108
Jasnah,Skar,118
Jasnah,Skar,143
Jasnah,Skar,145
Jasnah,Teft,1
Jasnah,Teft,32
Jasnah,Teft,77
Jasnah,Teft,115
Jasnah,Teft,123
Jasnah,Teft,130
Jasnah,Teft,132
Jasnah,Teft,138
Jasnah,Teft,141
Jasnah,Teft,142
Jasnah,Teft,143
Jasnah,Teft,144
Jasnah,Teft,145
Jasnah,Adolin,11
Jasnah,Adolin,12
Jasnah,Adolin,16
Jasnah,Adolin,18
Jasnah,Adolin,21
Jasnah,Adolin,25
Jasnah,Adolin,28
Jasnah,Adolin,30
Jasnah,Adolin,32
Jasnah,Adolin,35
Jasnah,Adolin,41
Jasnah,Adolin,47
Jasnah,Adolin,52
Jasnah,Adolin,57
Jasnah,Adolin,59
Jasnah,Adolin,71
Jasnah,Adolin,74
Jasnah,Adolin,75
Jasnah,Adolin,76
Jasnah,Adolin,80
Jasnah,Adolin,83
Jasnah,Adolin,87
Jasnah,Adolin,95
Jasnah,Adolin,108
Jasnah,Adolin,112
Jasnah,Adolin,115
Jasnah,Adolin,118
Jasnah,Adolin,120
Jasnah,Adolin,123
Jasnah,Adolin,124
Jasnah,Adolin,126
Jasnah,Adolin,132
Jasnah,Adolin,138
Jasnah,Adolin,139
Jasnah,Adolin,140
Jasnah,Adolin,141
Jasnah,Adolin,142
Jasnah,Adolin,143
Jasnah,Adolin,144
Jasnah,Adolin,145
Jasnah,Dalinar,11
Jasnah,Dalinar,12
Jasnah,Dalinar,16
Jasnah,Dalinar,21
Jasnah,Dalinar,25
Jasnah,Dalinar,27
Jasnah,Dalinar,28
Jasnah,Dalinar,29
Jasnah,Dalinar,30
Jasnah,Dalinar,32
Jasnah,Dalinar,35
Jasnah,Dalinar,40
Jasnah,Dalinar,41
Jasnah,Dalinar,42
Jasnah,Dalinar,46
Jasnah,Dalinar,47
Jasnah,Dalinar,50
Jasnah,Dalinar,52
Jasnah,Dalinar,55
Jasnah,Dalinar,57
Jasnah,Dalinar,58
Jasnah,Dalinar,59
Jasnah,Dalinar,61
Jasnah,Dalinar,64
Jasnah,Dalinar,71
Jasnah,Dalinar,74
Jasnah,Dalinar,75
Jasnah,Dalinar,77
Jasnah,Dalinar,78
Jasnah,Dalinar,83
Jasnah,Dalinar,108
Jasnah,Dalinar,112
Jasnah,Dalinar,115
Jasnah,Dalinar,118
Jasnah,Dalinar,123
Jasnah,Dalinar,124
Jasnah,Dalinar,126
Jasnah,Dalinar,130
Jasnah,Dalinar,132
Jasnah,Dalinar,138
Jasnah,Dalinar,139
Jasnah,Dalinar,140
Jasnah,Dalinar,141
Jasnah,Dalinar,142
Jasnah,Dalinar,143
Jasnah,Dalinar,144
Jasnah,Dalinar,145
Jasnah,Hatham,11
Jasnah,Hatham,123
Jasnah,Hatham,126
Jasnah,Hatham,145
Jasnah,Kaladin,11
Jasnah,Kaladin,25
Jasnah,Kaladin,27
Jasnah,Kaladin,28
Jasnah,Kaladin,30
Jasnah,Kaladin,32
Jasnah,Kaladin,47
Jasnah,Kaladin,58
Jasnah,Kaladin,59
Jasnah,Kaladin,61
Jasnah,Kaladin,71
Jasnah,Kaladin,74
Jasnah,Kaladin,75
Jasnah,Kaladin,76
Jasnah,Kaladin,77
Jasnah,Kaladin,80
Jasnah,Kaladin,83
Jasnah,Kaladin,87
Jasnah,Kaladin,95
Jasnah,Kaladin,108
Jasnah,Kaladin,112
Jasnah,Kaladin,115
Jasnah,Kaladin,118
Jasnah,Kaladin,120
Jasnah,Kaladin,130
Jasnah,Kaladin,138
Jasnah,Kaladin,139
Jasnah,Kaladin,140
Jasnah,Kaladin,141
Jasnah,Kaladin,142
Jasnah,Kaladin,143
Jasnah,Kaladin,144
Jasnah,Kaladin,145
Jasnah,Lyn,11
Jasnah,Lyn,32
Jasnah,Lyn,75
Jasnah,Lyn,76
Jasnah,Lyn,83
Jasnah,Lyn,130
Jasnah,Lyn,143
Jasnah,Lyn,144
Jasnah,Navani,11
Jasnah,Navani,12
Jasnah,Navani,16
