Id,Label
Devi,Devi
Drehy,Drehy
Jasnah,Jasnah
Kara,Kara
Kryst,Kryst
Leyten,Leyten
Lyon,Lyon
Marni,Marni
Natam,Natam
Shallan,Shallan
Skar,Skar
Teft,Teft
Brianlia,Brianlia
Eshonai,Eshonai
Gavilar,Gavilar
Gitgeth,Gitgeth
Klade,Klade
Venli,Venli
Adolin,Adolin
Dalinar,Dalinar
Kaladin,Kaladin
Navani,Navani
Stormfather,Stormfather
Sadeas,Sadeas
Aladar,Aladar
Cael,Cael
Elhokar,Elhokar
Ialai,Ialai
Ilamar,Ilamar
Kalami,Kalami
Palona,Palona
Perethom,Perethom
Renarin,Renarin
Roion,Roion
Rushu,Rushu
Sigzil,Sigzil
Teleb,Teleb
Thanadal,Thanadal
Sebarial,Sebarial
Dym,Dym
Jenin,Jenin
Thakka,Thakka
Yezriar,Yezriar
Chanada,Chanada
Kadash,Kadash
Ladent,Ladent
Moash,Moash
Syl,Syl
Roshone,Roshone
Hav,Hav
Hesina,Hesina
Laral,Laral
Lirin,Lirin
Rillir,Rillir
Tien,Tien
Toravi,Toravi
Aric,Aric
Maps,Maps
Oroden,Oroden
Hatham,Hatham
Lyn,Lyn
Pattern,Pattern
Colot,Colot
Lopen,Lopen
Malan,Malan
Niter,Niter
Peet,Peet
Perel,Perel
Rlain,Rlain
Tallan,Tallan
Bashin,Bashin
Gallant,Gallant
Glys,Glys
Khem,Khem
Sot,Sot
Sureblood,Sureblood
Febin,Febin
Sadees,Sadees
Tanalan,Tanalan
Aesudan,Aesudan
Taravangian,Taravangian
Yanagawn,Yanagawn
Kabsal,Kabsal
Khen,Khen
Evi,Evi
Harth,Harth
Ivis,Ivis
Kelerand,Kelerand
Rembrinor,Rembrinor
Rial,Rial
Nalma,Nalma
Tasinar,Tasinar
Balat,Balat
Betha,Betha
Jor,Jor
Mraize,Mraize
Ned,Ned
Rem,Rem
Sullik,Sullik
Tyn,Tyn
Shubreth-son-Mashalan,Shubreth-son-Mashalan
Toh,Toh
Cord,Cord
Sah,Sah
Deeli,Deeli
Gaz,Gaz
Marri,Marri
Vathah,Vathah
Helaran,Helaran
Cadilar,Cadilar
Hesh,Hesh
Adrotagia,Adrotagia
Lift,Lift
Malata,Malata
