Source,Target,Chapter
Devi,Fisk,1
Devi,Kara,1
Devi,Lyon,1
Devi,Marni,1
Devi,Mura,1
Devi,Navani,1
Devi,Navani,11
Devi,Pailiah,1
Devi,Shallan,1
Devi,Shallan,11
Devi,Skar,1
Devi,Talenel,1
Devi,Adolin,11
Devi,Dalinar,11
Devi,Elhokar,11
Devi,Gavilar,11
Devi,Gaz,11
Devi,Hav,11
Devi,Helaran,11
Devi,Ialai,11
Devi,Iyatil,11
Devi,Jasnah,11
Devi,Kaladin,11
Devi,Laran,11
Devi,Lift,11
Devi,Lopen,11
Devi,Moash,11
Devi,Mraize,11
Devi,Pattern,11
Devi,Renarin,11
Devi,Stormfather,11
Devi,Syl,11
Devi,Teft,11
Devi,Thanadal,11
Devi,Tien,11
Devi,Sadeas,11
Fisk,Kara,1
Fisk,Lyon,1
Fisk,Marni,1
Fisk,Mura,1
Fisk,Navani,1
Fisk,Navani,27
Fisk,Navani,59
Fisk,Pailiah,1
Fisk,Shallan,1
Fisk,Shallan,27
Fisk,Shallan,59
Fisk,Skar,1
Fisk,Talenel,1
Fisk,Talenel,59
Fisk,Adolin,27
Fisk,Adolin,59
Fisk,Arshqqam,27
Fisk,Beryl,27
Fisk,Dalinar,27
Fisk,Dalinar,59
Fisk,Gallant,27
Fisk,Godeke,27
Fisk,Ishnah,27
Fisk,Jasnah,27
Fisk,Jasnah,59
Fisk,Kaladin,27
Fisk,Kaladin,59
Fisk,Lift,27
Fisk,Lirin,27
Fisk,Malli,27
Fisk,Merit,27
Fisk,Pattern,27
Fisk,Stargyle,27
Fisk,Syl,27
Fisk,Taravangian,27
Fisk,Taravangian,59
Fisk,Sadeas,27
Fisk,Sadeas,59
Fisk,Urad,27
Fisk,Vathah,27
Fisk,Aladar,59
Fisk,Bethab,59
Fisk,Dieno,59
Fisk,Evi,59
Fisk,Gavilar,59
Fisk,Hatham,59
Fisk,Isom,59
Fisk,Kmakl,59
Fisk,Lyn,59
Fisk,Nale,59
Fisk,Noura,59
Fisk,Omal,59
Fisk,Rayse,59
Fisk,Renarin,59
Fisk,Roion,59
Fisk,Ruthar,59
Fisk,Savrahalidem,59
Fisk,Shalash,59
Fisk,Sigzil,59
Fisk,Szeth,59
Fisk,Teft,59
Fisk,Sebarial,59
Kara,Lyon,1
Kara,Marni,1
Kara,Marni,14
Kara,Mura,1
Kara,Navani,1
Kara,Navani,7
Kara,Navani,14
Kara,Pailiah,1
Kara,Shallan,1
Kara,Shallan,7
Kara,Shallan,14
Kara,Skar,1
Kara,Skar,7
Kara,Skar,14
Kara,Talenel,1
Kara,Adolin,7
Kara,Adolin,14
Kara,Beard,7
Kara,Cord,7
Kara,Cord,14
Kara,Dabbid,7
Kara,Dabbid,14
Kara,Dalinar,7
Kara,Dalinar,14
Kara,Drehy,7
Kara,Drehy,14
Kara,Godeke,7
Kara,Ialai,7
Kara,Ialai,14
Kara,Jasnah,7
Kara,Jasnah,14
Kara,Kaladin,7
Kara,Kaladin,14
Kara,Kaladin,109
Kara,Leshwi,7
Kara,Leven,7
Kara,Leyten,7
Kara,Leyten,14
Kara,Lift,7
Kara,Lopen,7
Kara,Lopen,14
Kara,Lyn,7
Kara,Lyn,14
Kara,Pattern,7
Kara,Pattern,14
Kara,Sigzil,7
Kara,Sigzil,14
Kara,Syl,7
Kara,Syl,14
Kara,Teft,7
Kara,Teft,14
Kara,Tien,7
Kara,Tien,109
Kara,Roshone,7
Kara,Roshone,109
Kara,Sadeas,7
Kara,Sadeas,14
Kara,Sadeas,109
Kara,Dakhnah,14
Kara,Gift,14
Kara,Hem,14
Kara,Jor,14
Kara,Ka,14
Kara,Kryst,14
Kara,Mel,14
Kara,Moash,14
Kara,Renarin,14
Kara,Ristina,14
Kara,Rlain,14
Kara,Rlain,109
Kara,Stormfather,14
Kara,Hesina,109
Kara,Lirin,109
Kara,Noril,109
Kara,Resi,109
Lyon,Marni,1
Lyon,Mura,1
Lyon,Navani,1
Lyon,Navani,46
Lyon,Pailiah,1
Lyon,Shallan,1
Lyon,Skar,1
Lyon,Talenel,1
Lyon,Dabbid,46
Lyon,Dalinar,46
Lyon,Gavri,46
Lyon,Radathavian,46
Lyon,Roion,46
Lyon,Shuanor,46
Lyon,Sibling,46
Lyon,Taravangian,46
Lyon,Teofil,46
Lyon,Tshadr,46
Marni,Mura,1
Marni,Navani,1
Marni,Navani,14
Marni,Pailiah,1
Marni,Shallan,1
Marni,Shallan,14
Marni,Skar,1
Marni,Skar,14
Marni,Talenel,1
Marni,Adolin,14
Marni,Cord,14
Marni,Dabbid,14
Marni,Dakhnah,14
Marni,Dalinar,14
Marni,Drehy,14
Marni,Gift,14
Marni,Hem,14
Marni,Ialai,14
Marni,Jasnah,14
Marni,Jor,14
Marni,Ka,14
Marni,Kaladin,14
Marni,Kryst,14
Marni,Leyten,14
Marni,Lopen,14
Marni,Lyn,14
Marni,Mel,14
Marni,Moash,14
Marni,Pattern,14
Marni,Renarin,14
Marni,Ristina,14
Marni,Rlain,14
Marni,Sigzil,14
Marni,Stormfather,14
Marni,Syl,14
Marni,Teft,14
Marni,Sadeas,14
Mura,Navani,1
Mura,Pailiah,1
Mura,Shallan,1
Mura,Skar,1
Mura,Talenel,1
Navani,Pailiah,1
Navani,Shallan,1
Navani,Shallan,4
Navani,Shallan,6
Navani,Shallan,7
Navani,Shallan,8
Navani,Shallan,9
Navani,Shallan,10
Navani,Shallan,11
Navani,Shallan,14
Navani,Shallan,15
Navani,Shallan,18
Navani,Shallan,19
Navani,Shallan,21
Navani,Shallan,27
Navani,Shallan,28
Navani,Shallan,31
Navani,Shallan,33
Navani,Shallan,38
Navani,Shallan,44
Navani,Shallan,59
Navani,Shallan,80
Navani,Shallan,102
Navani,Shallan,112
Navani,Shallan,132
Navani,Shallan,133
Navani,Skar,1
Navani,Skar,7
Navani,Skar,12
Navani,Skar,14
Navani,Skar,17
Navani,Skar,20
Navani,Skar,44
Navani,Talenel,1
Navani,Talenel,19
Navani,Talenel,59
Navani,Talenel,80
Navani,Talenel,112
Navani,Adolin,2
Navani,Adolin,4
Navani,Adolin,5
Navani,Adolin,6
Navani,Adolin,7
Navani,Adolin,8
Navani,Adolin,9
Navani,Adolin,10
Navani,Adolin,11
Navani,Adolin,14
Navani,Adolin,15
