Source,Target,Chapter
Lin,Navani,1
Lin,Shallan,1
Lin,Skar,1
Navani,Shallan,1
Navani,Shallan,2
Navani,Shallan,54
Navani,Skar,1
Navani,Skar,76
Navani,Skar,78
Navani,Evi,2
Navani,Kabsal,2
Navani,Kabsal,54
Navani,Adolin,19
Navani,Adolin,22
Navani,Adolin,29
Navani,Adolin,35
Navani,Adolin,63
Navani,Adolin,65
Navani,Adolin,67
Navani,Adolin,69
Navani,Adolin,71
Navani,Adolin,72
Navani,Adolin,75
Navani,Adolin,76
Navani,Adolin,78
Navani,Adolin,80
Navani,Bashin,19
Navani,Dalinar,19
Navani,Dalinar,22
Navani,Dalinar,29
Navani,Dalinar,35
Navani,Dalinar,54
Navani,Dalinar,63
Navani,Dalinar,65
Navani,Dalinar,67
Navani,Dalinar,69
Navani,Dalinar,71
Navani,Dalinar,72
Navani,Dalinar,75
Navani,Dalinar,76
Navani,Dalinar,78
Navani,Dalinar,80
Navani,Dalinar,86
Navani,Deeli,19
Navani,Elhokar,19
Navani,Elhokar,22
Navani,Elhokar,29
Navani,Elhokar,35
Navani,Elhokar,63
Navani,Elhokar,65
Navani,Elhokar,69
Navani,Elhokar,71
Navani,Elhokar,75
Navani,Elhokar,76
Navani,Elhokar,80
Navani,Elhokar,86
Navani,Gallant,19
Navani,Gallant,22
Navani,Gallant,67
Navani,Gallant,75
Navani,Gallant,80
Navani,Gavilar,19
Navani,Gavilar,22
Navani,Gavilar,29
Navani,Gavilar,35
Navani,Gavilar,54
Navani,Gavilar,63
Navani,Gavilar,65
Navani,Gavilar,67
Navani,Gavilar,69
Navani,Gavilar,71
Navani,Gavilar,72
Navani,Gavilar,75
Navani,Gavilar,76
Navani,Gavilar,80
Navani,Jasnah,19
Navani,Jasnah,22
Navani,Jasnah,29
Navani,Jasnah,35
Navani,Jasnah,54
Navani,Jasnah,63
Navani,Jasnah,65
Navani,Jasnah,71
Navani,Jasnah,72
Navani,Lomard,19
Navani,Lustow,19
Navani,Renarin,19
Navani,Renarin,22
Navani,Renarin,29
Navani,Renarin,35
Navani,Renarin,63
Navani,Renarin,65
Navani,Renarin,69
Navani,Renarin,71
Navani,Renarin,72
Navani,Renarin,80
Navani,Rilla,19
Navani,Tarilar,19
Navani,Sadeas,19
Navani,Sadeas,22
Navani,Sadeas,29
Navani,Sadeas,35
Navani,Sadeas,63
Navani,Sadeas,65
Navani,Sadeas,67
Navani,Sadeas,69
Navani,Sadeas,71
Navani,Sadeas,72
Navani,Sadeas,75
Navani,Sadeas,76
Navani,Sadeas,78
Navani,Sadeas,80
Navani,Sadeas,86
Navani,Vartian,19
Navani,Bethab,22
Navani,Bethab,35
Navani,Resi,22
Navani,Resi,69
Navani,Roion,22
Navani,Roion,29
Navani,Roion,69
Navani,Stormfather,22
Navani,Stormfather,29
Navani,Stormfather,35
Navani,Stormfather,54
Navani,Stormfather,63
Navani,Stormfather,65
Navani,Stormfather,67
Navani,Stormfather,72
Navani,Stormfather,75
Navani,Stormfather,76
Navani,Stormfather,78
Navani,Stormfather,80
Navani,Talata,22
Navani,Cadilar,29
Navani,Habatab,29
Navani,Marakal,29
Navani,Meirav,29
Navani,Neteb,29
Navani,Rayse,29
Navani,Taselin,29
Navani,Tumul,29
Navani,Yonatan,29
Navani,Morakotha,35
Navani,Design,35
Navani,Hatham,35
Navani,Hatham,65
Navani,Havrom,35
Navani,Kalana,35
Navani,Ladent,35
Navani,Lalai,35
Navani,Litima,35
Navani,Niter,35
Navani,Niter,75
Navani,Tadet,35
Navani,Teleb,35
Navani,Teleb,67
Navani,Teleb,75
Navani,Teleb,80
Navani,Thanadal,35
Navani,Thanadal,69
Navani,Klade,54
Navani,Matain,54
Navani,Tifandor,54
Navani,Tomor,54
Navani,Tomor,80
Navani,Tozbek,54
Navani,Traxil,54
Navani,Leef,63
Navani,Nightwatcher,63
Navani,Nightwatcher,69
Navani,Nightwatcher,72
Navani,Nightwatcher,76
Navani,Au-nak,65
Navani,Fin,65
Navani,Ialai,65
Navani,Talenel,65
Navani,Aladar,69
Navani,Eshava,69
Navani,Inkima,69
Navani,Istow,69
Navani,Jakamav,69
Navani,Nohadon,69
Navani,Nohadon,71
Navani,Nohadon,72
Navani,Nohadon,75
Navani,Nohadon,80
Navani,Nohadon,86
Navani,Toral,69
Navani,Alakavish,71
Navani,Corvana,71
Navani,Elthebar,71
Navani,Karm,71
Navani,Longshadow,71
Navani,Hashal,75
Navani,Ilamar,75
Navani,Jaks,75
Navani,Kaladin,75
Navani,Kaladin,76
Navani,Kaladin,78
Navani,Kaladin,80
Navani,Leyten,75
Navani,Sureblood,75
Navani,Sureblood,80
Navani,Teft,75
Navani,Teft,76
Navani,Teft,78
Navani,Teft,80
Navani,Drehy,76
Navani,Drehy,78
Navani,Lopen,76
Navani,Lopen,78
Navani,Moash,76
Navani,Moash,78
Navani,Cenn,78
Navani,Dabbid,78
