Id,Label
Lin,Lin
Navani,Navani
Shallan,Shallan
Skar,Skar
Evi,Evi
Kabsal,Kabsal
Ishar,Ishar
Jezrien,Jezrien
Kalak,Kalak
Talenel,Talenel
Dalinar,Dalinar
Elhokar,Elhokar
Gavilar,Gavilar
Jasnah,Jasnah
Shalash,Shalash
Stormfather,Stormfather
Szeth,Szeth
Sadeas,Sadeas
Cenn,Cenn
Cyn,Cyn
Dallet,Dallet
Gare,Gare
Hallaw,Hallaw
Kaladin,Kaladin
Korater,Korater
Kusiri,Kusiri
Bluth,Bluth
Taran,Taran
Tien,Tien
Tukks,Tukks
Tvlakv,Tvlakv
Ashlv,Ashlv
Tozbek,Tozbek
Valam,Valam
Yalb,Yalb
Katarotam,Katarotam
Tag,Tag
Roshone,Roshone
Fabrisan,Fabrisan
Gabrathin,Gabrathin
Gevelmar,Gevelmar
Lhan,Lhan
Manaline,Manaline
Nashan,Nashan
Niali,Niali
Nohadon,Nohadon
Placini,Placini
Shauka-daughter-Hasweth,Shauka-daughter-Hasweth
Syasikk,Syasikk
Taravangian,Taravangian
Tormas,Tormas
Yustara,Yustara
Gaz,Gaz
Hashal,Hashal
Lamaril,Lamaril
Laral,Laral
Lift,Lift
Syl,Syl
Balat,Balat
Lhanin,Lhanin
Luesh,Luesh
Vedel,Vedel
Artmyrn,Artmyrn
Barmest,Barmest
Helaran,Helaran
Rencalt,Rencalt
Tomor,Tomor
Laresh,Laresh
Hammie,Hammie
Hesina,Hesina
Lirin,Lirin
Sani,Sani
Vathe,Vathe
Wistiow,Wistiow
Teft,Teft
Ishikk,Ishikk
Maib,Maib
Thaspic,Thaspic
Jushu,Jushu
Scrak,Scrak
Wikim,Wikim
Amark,Amark
Avado,Avado
Nightwatcher,Nightwatcher
Took,Took
Maps,Maps
Adolin,Adolin
Bashin,Bashin
Deeli,Deeli
Gallant,Gallant
Lomard,Lomard
Lustow,Lustow
Renarin,Renarin
Rilla,Rilla
Tarilar,Tarilar
Vartian,Vartian
Sureblood,Sureblood
Dunny,Dunny
Leyten,Leyten
Moash,Moash
Narm,Narm
Sigzil,Sigzil
Bethab,Bethab
Resi,Resi
Roion,Roion
Talata,Talata
Jest,Jest
Jost,Jost
Khav,Khav
Mord,Mord
Naget,Naget
Ral,Ral
Tarn,Tarn
Tift,Tift
Adis,Adis
Corl,Corl
Dabbid,Dabbid
Drehy,Drehy
Gadol,Gadol
Hobber,Hobber
Koorm,Koorm
Malop,Malop
Murk,Murk
Peet,Peet
Yake,Yake
Aladar,Aladar
Avaran,Avaran
Elthebar,Elthebar
Falksi,Falksi
Hatham,Hatham
Kadash,Kadash
Rayse,Rayse
Ruthar,Ruthar
