Source,Target,Chapter
Kaladin,Kara,1
Kaladin,Kryst,1
Kaladin,Shallan,1
Kaladin,Shallan,36
Kaladin,Shallan,37
Kaladin,Shallan,44
Kaladin,Shallan,52
Kaladin,Shallan,58
Kaladin,Shallan,60
Kaladin,Shallan,63
Kaladin,Shallan,64
Kaladin,Shallan,65
Kaladin,Shallan,74
Kaladin,Shallan,77
Kaladin,Shallan,78
Kaladin,Shallan,79
Kaladin,Shallan,80
Kaladin,Shallan,81
Kaladin,Shallan,82
Kaladin,Shallan,84
Kaladin,Shallan,85
Kaladin,Shallan,88
Kaladin,Shallan,89
Kaladin,Shallan,90
Kaladin,Shallan,92
Kaladin,Shallan,93
Kaladin,Shallan,94
Kaladin,Shallan,95
Kaladin,Shallan,96
Kaladin,Shallan,97
Kaladin,Shallan,98
Kaladin,Shallan,99
Kaladin,Shallan,101
Kaladin,Warren,1
Kaladin,Beld,5
Kaladin,Beld,8
Kaladin,Beld,37
Kaladin,Beld,38
Kaladin,Dalinar,5
Kaladin,Dalinar,7
Kaladin,Dalinar,8
Kaladin,Dalinar,11
Kaladin,Dalinar,12
Kaladin,Dalinar,14
Kaladin,Dalinar,21
Kaladin,Dalinar,23
Kaladin,Dalinar,27
Kaladin,Dalinar,28
Kaladin,Dalinar,30
Kaladin,Dalinar,36
Kaladin,Dalinar,37
Kaladin,Dalinar,38
Kaladin,Dalinar,43
Kaladin,Dalinar,44
Kaladin,Dalinar,49
Kaladin,Dalinar,52
Kaladin,Dalinar,54
Kaladin,Dalinar,58
Kaladin,Dalinar,59
Kaladin,Dalinar,60
Kaladin,Dalinar,63
Kaladin,Dalinar,64
Kaladin,Dalinar,65
Kaladin,Dalinar,66
Kaladin,Dalinar,69
Kaladin,Dalinar,72
Kaladin,Dalinar,76
Kaladin,Dalinar,77
Kaladin,Dalinar,78
Kaladin,Dalinar,79
Kaladin,Dalinar,81
Kaladin,Dalinar,82
Kaladin,Dalinar,84
Kaladin,Dalinar,85
Kaladin,Dalinar,88
Kaladin,Dalinar,89
Kaladin,Dalinar,90
Kaladin,Dalinar,92
Kaladin,Dalinar,93
Kaladin,Dalinar,94
Kaladin,Dalinar,95
Kaladin,Dalinar,96
Kaladin,Dalinar,97
Kaladin,Dalinar,98
Kaladin,Dalinar,99
Kaladin,Dalinar,101
Kaladin,Drehy,5
Kaladin,Drehy,8
Kaladin,Drehy,14
Kaladin,Drehy,21
Kaladin,Drehy,23
Kaladin,Drehy,49
Kaladin,Drehy,54
Kaladin,Drehy,81
Kaladin,Drehy,93
Kaladin,Drehy,94
Kaladin,Drehy,96
Kaladin,Drehy,97
Kaladin,Drehy,99
Kaladin,Gavilar,5
Kaladin,Gavilar,7
Kaladin,Gavilar,8
Kaladin,Gavilar,11
Kaladin,Gavilar,43
Kaladin,Gavilar,49
Kaladin,Gavilar,52
Kaladin,Gavilar,58
Kaladin,Gavilar,59
Kaladin,Gavilar,63
Kaladin,Gavilar,74
Kaladin,Gavilar,77
Kaladin,Gavilar,88
Kaladin,Gavilar,89
Kaladin,Gavilar,90
Kaladin,Gavilar,92
Kaladin,Gavilar,97
Kaladin,Gavilar,98
Kaladin,Gavilar,99
Kaladin,Gavilar,101
Kaladin,Hobber,5
Kaladin,Hobber,37
Kaladin,Hobber,38
Kaladin,Hobber,54
Kaladin,Hobber,89
Kaladin,Lopen,5
Kaladin,Lopen,8
Kaladin,Lopen,14
Kaladin,Lopen,21
Kaladin,Lopen,23
Kaladin,Lopen,27
Kaladin,Lopen,49
Kaladin,Lopen,54
Kaladin,Lopen,76
Kaladin,Lopen,78
Kaladin,Lopen,88
Kaladin,Lopen,89
Kaladin,Lopen,92
Kaladin,Lopen,99
Kaladin,Moash,5
Kaladin,Moash,8
Kaladin,Moash,12
Kaladin,Moash,14
Kaladin,Moash,21
Kaladin,Moash,23
Kaladin,Moash,27
Kaladin,Moash,28
Kaladin,Moash,30
Kaladin,Moash,37
Kaladin,Moash,38
Kaladin,Moash,49
Kaladin,Moash,52
Kaladin,Moash,54
Kaladin,Moash,60
Kaladin,Moash,64
Kaladin,Moash,69
Kaladin,Moash,72
Kaladin,Moash,76
Kaladin,Moash,78
Kaladin,Moash,81
Kaladin,Moash,88
Kaladin,Moash,89
Kaladin,Moash,92
Kaladin,Moash,94
Kaladin,Moash,95
Kaladin,Moash,96
Kaladin,Moash,99
Kaladin,Navani,5
Kaladin,Navani,7
Kaladin,Navani,8
Kaladin,Navani,11
Kaladin,Navani,12
Kaladin,Navani,14
Kaladin,Navani,21
Kaladin,Navani,27
Kaladin,Navani,28
Kaladin,Navani,37
Kaladin,Navani,38
Kaladin,Navani,43
Kaladin,Navani,44
Kaladin,Navani,58
Kaladin,Navani,59
Kaladin,Navani,64
Kaladin,Navani,77
Kaladin,Navani,82
Kaladin,Navani,85
Kaladin,Navani,88
Kaladin,Navani,89
Kaladin,Navani,90
Kaladin,Navani,92
Kaladin,Navani,93
Kaladin,Navani,94
Kaladin,Navani,95
Kaladin,Navani,96
Kaladin,Navani,97
Kaladin,Navani,98
Kaladin,Navani,99
Kaladin,Navani,101
Kaladin,Rind,5
Kaladin,Rind,12
Kaladin,Sigzil,5
Kaladin,Sigzil,8
Kaladin,Sigzil,12
Kaladin,Sigzil,14
Kaladin,Sigzil,23
Kaladin,Sigzil,36
Kaladin,Sigzil,49
Kaladin,Sigzil,54
Kaladin,Sigzil,63
Kaladin,Sigzil,64
Kaladin,Sigzil,69
Kaladin,Sigzil,81
Kaladin,Sigzil,99
Kaladin,Skar,5
Kaladin,Skar,8
Kaladin,Skar,12
Kaladin,Skar,21
Kaladin,Skar,23
Kaladin,Skar,27
Kaladin,Skar,64
Kaladin,Skar,81
Kaladin,Skar,88
Kaladin,Skar,90
Kaladin,Skar,93
Kaladin,Skar,94
Kaladin,Skar,95
Kaladin,Skar,96
Kaladin,Skar,97
Kaladin,Syl,5
Kaladin,Syl,8
Kaladin,Syl,12
Kaladin,Syl,14
Kaladin,Syl,21
Kaladin,Syl,23
Kaladin,Syl,27
Kaladin,Syl,28
Kaladin,Syl,30
Kaladin,Syl,37
Kaladin,Syl,38
Kaladin,Syl,49
Kaladin,Syl,52
Kaladin,Syl,54
Kaladin,Syl,60
Kaladin,Syl,63
Kaladin,Syl,64
Kaladin,Syl,65
Kaladin,Syl,66
Kaladin,Syl,69
Kaladin,Syl,72
Kaladin,Syl,74
Kaladin,Syl,78
Kaladin,Syl,79
Kaladin,Syl,80
Kaladin,Syl,81
Kaladin,Syl,82
Kaladin,Syl,84
Kaladin,Syl,88
Kaladin,Syl,89
Kaladin,Syl,92
Kaladin,Syl,96
Kaladin,Syl,98
Kaladin,Syl,99
Kaladin,Teft,5
Kaladin,Teft,8
Kaladin,Teft,12
Kaladin,Teft,14
Kaladin,Teft,21
Kaladin,Teft,23
Kaladin,Teft,27
Kaladin,Teft,36
Kaladin,Teft,49
Kaladin,Teft,52
Kaladin,Teft,54
Kaladin,Teft,63
Kaladin,Teft,76
Kaladin,Teft,78
