Id,Label
Kaladin,Kaladin
Kara,Kara
Kryst,Kryst
Shallan,Shallan
Warren,Warren
Bru,Bru
Fleet,Fleet
Lhan,Lhan
Lift,Lift
Navani,Navani
Palona,Palona
Pattern,Pattern
Szeth,Szeth
Taravangian,Taravangian
Tyn,Tyn
Ym,Ym
Aesudan,Aesudan
Dalinar,Dalinar
Elhokar,Elhokar
Gangnah,Gangnah
Gavilar,Gavilar
Jasnah,Jasnah
Klade,Klade
Liss,Liss
Stormfather,Stormfather
Talak,Talak
Talenel,Talenel
Tearim,Tearim
Sadeas,Sadeas
Varnali,Varnali
Adolin,Adolin
Ashlv,Ashlv
Balat,Balat
Beznk,Beznk
Devi,Devi
Longbrow,Longbrow
Naladan,Naladan
Tozbek,Tozbek
Yalb,Yalb
Beld,Beld
Drehy,Drehy
Hobber,Hobber
Lopen,Lopen
Moash,Moash
Rind,Rind
Sigzil,Sigzil
Skar,Skar
Syl,Syl
Teft,Teft
Ivory,Ivory
Namar,Namar
Nightwatcher,Nightwatcher
Caeb,Caeb
Renarin,Renarin
Rushu,Rushu
Sja-anat,Sja-anat
Aladar,Aladar
Dabbid,Dabbid
Eth,Eth
Hatham,Hatham
Ialai,Ialai
Ishar,Ishar
Leyten,Leyten
Lirin,Lirin
Mart,Mart
Ruthar,Ruthar
Alai,Alai
Shubalai,Shubalai
Kabsal,Kabsal
Gallant,Gallant
Roion,Roion
Yenev,Yenev
Tomor,Tomor
Tvlakv,Tvlakv
Coreb,Coreb
Dallet,Dallet
Reesh,Reesh
Demid,Demid
Eshonai,Eshonai
Varanis,Varanis
Venli,Venli
Gu,Gu
Kylrm,Kylrm
Nlent,Nlent
Tai,Tai
Talik,Talik
Vstim,Vstim
Abronai,Abronai
Bila,Bila
Chivi,Chivi
Davim,Davim
Dul,Dul
Thude,Thude
Bluth,Bluth
Istow,Istow
Pailiah,Pailiah
Thanadal,Thanadal
Tinalar,Tinalar
Tag,Tag
Hav,Hav
Tien,Tien
Niter,Niter
Took,Took
Helaran,Helaran
Gaz,Gaz
Vathah,Vathah
Yix,Yix
Macob,Macob
Bisig,Bisig
Idrin,Idrin
Kalishor,Kalishor
Nakal,Nakal
Natam,Natam
Punio,Punio
Talanor,Talanor
Bethab,Bethab
Cusicesh,Cusicesh
Evi,Evi
Nohadon,Nohadon
Pitt,Pitt
Sebarial,Sebarial
Jenet,Jenet
Eranniv,Eranniv
Inkima,Inkima
Jakamav,Jakamav
Sureblood,Sureblood
Jushu,Jushu
Glurv,Glurv
Shalash,Shalash
Abrial,Abrial
Evinor,Evinor
Hanavanar,Hanavanar
Reya,Reya
Ralinor,Ralinor
Valam,Valam
Bordin,Bordin
Gift,Gift
Jezrien,Jezrien
Kalak,Kalak
Vedel,Vedel
Falilar,Falilar
Kadash,Kadash
Matain,Matain
Sixteen,Sixteen
Abrobadar,Abrobadar
Epinar,Epinar
Ilamar,Ilamar
Melali,Melali
Perethom,Perethom
Resi,Resi
Ruli,Ruli
Avena,Avena
Marri,Marri
Gevelmar,Gevelmar
Isan,Isan
Lin,Lin
Redin,Redin
Tavinar,Tavinar
Wikim,Wikim
Peet,Peet
Roshone,Roshone
Si,Si
Mraize,Mraize
Ana,Ana
Da,Da
Ivis,Ivis
Lanacin,Lanacin
Madasa,Madasa
Nall,Nall
Raninor,Raninor
Yake,Yake
Dreder,Dreder
Hasheh,Hasheh
Jeksonofnone,Jeksonofnone
Jix,Jix
Ren,Ren
Revilar,Revilar
Graves,Graves
Huio,Huio
Ka,Ka
Simol,Simol
Ali-daughter-Hasweth,Ali-daughter-Hasweth
Calinam,Calinam
En,En
Ekel,Ekel
Minara,Minara
Ministara,Ministara
Sakisa,Sakisa
Invia,Invia
Inadara,Inadara
Kazilah,Kazilah
Teleb,Teleb
Corberon,Corberon
Maps,Maps
Rlain,Rlain
Stine,Stine
Telesh,Telesh
Tukks,Tukks
Jin,Jin
Malchin,Malchin
Melishi,Melishi
Ashno,Ashno
Axikk,Axikk
Dalksi,Dalksi
Ethid,Ethid
Huqin,Huqin
Maxin,Maxin
Pandri,Pandri
Tigzikk,Tigzikk
Wyndle,Wyndle
Melu,Melu
Beal,Beal
Levrin,Levrin
Luesh,Luesh
Rin,Rin
Iyatil,Iyatil
Shoren,Shoren
Dialectur,Dialectur
Rayse,Rayse
Sivi,Sivi
Tarah,Tarah
Velat,Velat
Tanavast,Tanavast
Eshu,Eshu
Oolelen,Oolelen
Pai,Pai
Adrotagia,Adrotagia
Boriar,Boriar
Fabrisan,Fabrisan
Maben,Maben
Moelach,Moelach
Mrall,Mrall
Nergaoul,Nergaoul
Bashin,Bashin
Eleseth,Eleseth
Taka,Taka
Lyn,Lyn
Mintez,Mintez
Serugiadis,Serugiadis
Shim,Shim
Cleft-chin,Cleft-chin
Javih,Javih
Perel,Perel
Apara,Apara
Cael,Cael
Dod,Dod
Pedin,Pedin
Chilinko,Chilinko
Nale,Nale
Pama,Pama
Glys,Glys
